Site_Name,Elev,Lat,Lon,installed,County,Water Year,Jan,Jan (WE),Feb,Feb (WE),Mar,Mar (WE),Apr,Apr (WE),May,May (WE),Jun,Jun (WE),Jan_SA_Avg,Feb_SA_Avg,Mar_SA_Avg,Apr_SA_Avg,May_SA_Avg,Jun_SA_Avg,Jan_WE_Avg,Feb_WE_Avg,Mar_WE_Avg,Apr_WE_Avg,May_WE_Avg,Jun_WE_Avg
Agua Canyon,8900,37.52,-112.27,1995,Kane,1995,15.373110388668772,4.7,34.34418278319619,10.5,40.88593188475737,12.5,50.69855553709914,15.5,18.97107239452742,5.8,0.0,0.0,,,,,,,,,,,,
Agua Canyon,8900,37.52,-112.27,1995,Kane,1996,2.9437870957025307,0.9,9.15844874218565,2.8,17.008547664059066,5.2,7.850098921873415,2.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Agua Canyon,8900,37.52,-112.27,1995,Kane,1997,11.120973472654004,3.4,23.877384220698303,7.3,27.80243368163501,8.5,6.541749101561179,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Agua Canyon,8900,37.52,-112.27,1995,Kane,1998,7.850098921873415,2.4,13.737673113278476,4.2,27.148258771478897,8.3,31.0733082324156,9.5,13.08349820312236,4.0,0.0,0.0,,,,,,,,,,,,
Agua Canyon,8900,37.52,-112.27,1995,Kane,1999,12.0,3.4,14.0,4.4,15.0,5.2,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Agua Canyon,8900,37.52,-112.27,1995,Kane,2000,1.0,0.1,1.0,0.4,20.0,4.8,17.0,6.2,0.0,0.0,0.0,0.0,9.857593975779745,19.023537771871723,25.569034400386066,19.632742358589866,6.410914119529956,0.0,2.96,5.840000000000001,7.94,5.88,1.9600000000000002,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2001,12.0,2.4,32.0,6.7,41.0,10.7,22.0,9.0,0.0,0.0,0.0,0.0,6.9829718980459905,12.354701215232485,21.391848023434594,12.893031251170038,2.6166996406244722,0.0,2.04,3.8200000000000003,6.4,4.0200000000000005,0.8,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2002,11.0,1.8,14.0,2.4,9.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,8.794214478905484,16.923011466795355,26.19013849062278,15.723011466795356,2.6166996406244722,0.0,2.34,4.6,7.5,5.34,0.8,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2003,9.0,1.4,5.0,1.7,26.0,4.6,8.0,2.5,0.0,0.0,0.0,0.0,8.770019784374682,14.947534622655695,22.42965175429578,14.41466164648312,2.6166996406244722,0.0,2.02,3.62,6.3,4.9399999999999995,0.8,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2004,20.0,4.3,23.0,5.3,50.0,10.9,8.0,2.2,0.0,0.0,0.0,0.0,9.0,13.2,22.2,9.8,0.0,0.0,1.8199999999999998,3.12,5.56,3.54,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2005,35.0,7.4,57.0,15.9,64.0,19.9,65.0,22.4,30.0,12.8,0.0,0.0,10.6,15.0,29.2,11.0,0.0,0.0,2.0,3.3,6.7,3.9799999999999995,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2006,7.0,1.4,16.0,3.5,15.0,4.8,28.0,8.8,0.0,0.0,0.0,0.0,17.4,26.2,38.0,20.6,6.0,0.0,3.4599999999999995,6.4,9.719999999999999,7.219999999999999,2.56,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2007,12.0,2.7,17.0,3.8,24.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,16.4,23.0,32.8,21.8,6.0,0.0,3.2600000000000002,5.76,8.54,7.18,2.56,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2008,18.0,3.8,45.0,10.6,43.0,13.3,27.0,10.2,0.0,0.0,0.0,0.0,16.6,23.6,35.8,21.8,6.0,0.0,3.44,6.04,9.12,7.18,2.56,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2009,27.0,7.2,22.0,7.2,27.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,18.4,31.6,39.2,25.6,6.0,0.0,3.9200000000000004,7.82,10.86,8.719999999999999,2.56,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2010,21.0,4.6,45.0,10.7,43.0,12.5,39.0,13.8,1.0,0.2,0.0,0.0,19.8,31.4,34.6,24.0,6.0,0.0,4.5,8.2,10.500000000000002,8.28,2.56,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2011,40.0,9.5,31.0,9.5,55.0,13.9,38.0,14.3,1.0,0.1,0.0,0.0,17.0,29.0,30.4,18.8,0.2,0.0,3.94,7.159999999999999,9.02,6.56,0.04,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2012,13.0,2.9,19.0,4.2,27.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,23.6,32.0,38.4,20.8,0.4,0.0,5.56,8.36,10.84,7.659999999999999,0.06000000000000001,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2013,17.0,3.9,21.0,5.6,23.0,6.1,4.0,1.5,0.0,0.0,0.0,0.0,23.8,32.4,39.0,20.8,0.4,0.0,5.6,8.440000000000001,10.98,7.659999999999999,0.06000000000000001,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2014,19.0,4.7,26.0,5.1,13.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,23.6,27.6,35.0,16.2,0.4,0.0,5.619999999999999,7.4399999999999995,9.540000000000001,5.92,0.06000000000000001,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2015,20.0,2.1,19.0,4.5,29.0,6.4,5.0,1.8,0.0,0.0,0.0,0.0,22.0,28.4,32.2,16.2,0.4,0.0,5.119999999999999,7.0200000000000005,8.56,5.92,0.06000000000000001,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2016,14.0,3.2,34.0,7.1,15.0,5.5,3.0,0.9,1.0,0.2,0.0,0.0,21.8,23.2,29.4,9.4,0.2,0.0,4.62,5.779999999999999,7.340000000000001,3.5200000000000005,0.02,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2017,17.0,4.0,37.0,9.7,35.0,11.6,8.0,2.2,0.0,0.0,0.0,0.0,16.6,23.8,21.4,2.4,0.2,0.0,3.3600000000000003,5.3,5.659999999999999,0.8400000000000001,0.04,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2018,0.0,0.0,5.0,1.3,8.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,17.4,27.4,23.0,4.0,0.2,0.0,3.5799999999999996,6.3999999999999995,6.760000000000001,1.28,0.04,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2019,13.0,2.3,21.0,5.1,43.0,12.1,38.0,14.9,1.0,0.5,0.0,0.0,14.0,24.2,20.0,3.2,0.2,0.0,2.8,5.54,5.860000000000001,0.9800000000000001,0.04,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2020,26.0,6.6,14.0,6.3,20.0,7.0,28.0,8.5,0.0,0.0,0.0,0.0,12.8,23.2,26.0,10.8,0.4,0.0,2.3200000000000003,5.539999999999999,7.44,3.96,0.13999999999999999,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2021,6.0,0.8,15.0,3.2,15.0,4.0,10.0,4.1,0.0,0.0,0.0,0.0,14.0,22.2,24.2,15.4,0.4,0.0,3.22,5.8999999999999995,7.5600000000000005,5.3,0.13999999999999999,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2022,27.0,5.8,20.0,5.5,24.0,6.7,10.0,3.6,0.0,0.0,0.0,0.0,12.4,18.4,24.2,16.8,0.2,0.0,2.7399999999999998,5.12,7.26,5.94,0.1,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2023,17.0,4.5,34.0,9.9,49.0,14.1,62.0,21.4,11.0,5.2,0.0,0.0,14.4,15.0,22.0,17.2,0.2,0.0,3.1,4.279999999999999,6.279999999999999,6.220000000000001,0.1,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2011,38.0,8.0,43.0,9.8,49.0,13.1,45.0,16.5,41.0,17.2,3.0,0.7,,,,,,,,,,,,
Bear River RS,8777,40.89,-110.83,2011,Summit,2012,14.0,2.4,20.0,3.9,33.0,6.1,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Bear River RS,8777,40.89,-110.83,2011,Summit,2013,20.0,4.1,24.0,5.1,29.0,6.4,17.0,6.8,2.0,1.0,0.0,0.0,,,,,,,,,,,,
Bear River RS,8777,40.89,-110.83,2011,Summit,2014,16.0,2.8,28.0,4.7,34.0,7.7,28.0,10.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Bear River RS,8777,40.89,-110.83,2011,Summit,2015,18.0,3.1,19.0,4.1,22.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Bear River RS,8777,40.89,-110.83,2011,Summit,2016,23.0,4.2,34.0,6.8,28.0,8.1,23.0,9.3,4.0,1.1,0.0,0.0,21.2,26.8,33.4,18.4,8.6,0.6,4.08,5.5200000000000005,7.760000000000001,6.92,3.6399999999999997,0.13999999999999999
Bear River RS,8777,40.89,-110.83,2011,Summit,2017,21.0,4.5,36.0,9.8,45.0,12.5,26.0,9.8,3.0,1.7,0.0,0.0,18.2,25.0,29.2,14.0,1.2,0.0,3.3200000000000003,4.92,6.76,5.48,0.42000000000000004,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2018,16.0,3.4,23.0,5.4,28.0,6.9,18.0,7.0,0.0,0.0,0.0,0.0,19.6,28.2,31.6,18.8,1.8,0.0,3.7399999999999998,6.1,8.040000000000001,7.24,0.76,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2019,19.0,3.2,26.0,5.5,32.0,8.4,35.0,12.0,11.0,3.6,0.0,0.0,18.8,28.0,31.4,19.0,1.4,0.0,3.6,6.160000000000001,8.139999999999999,7.280000000000001,0.5599999999999999,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2020,19.0,4.0,27.0,6.3,29.0,7.6,30.0,10.5,0.0,0.0,0.0,0.0,19.4,27.6,31.0,20.4,3.6,0.0,3.6800000000000006,6.32,8.28,7.62,1.28,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2021,14.0,3.1,17.0,3.8,29.0,6.3,25.0,8.9,0.0,0.0,0.0,0.0,19.6,29.2,32.4,26.4,3.6,0.0,3.8600000000000003,6.76,8.7,9.72,1.28,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2022,26.0,4.9,23.0,6.2,26.0,7.0,19.0,7.3,0.0,0.0,0.0,0.0,17.8,25.8,32.6,26.8,2.8,0.0,3.6400000000000006,6.160000000000001,8.34,9.639999999999999,1.06,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2023,30.0,6.1,35.0,8.1,42.0,10.2,49.0,14.3,24.0,8.1,0.0,0.0,18.8,23.2,28.8,25.4,2.2,0.0,3.72,5.4399999999999995,7.24,9.139999999999999,0.72,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1981,5.560486736327002,1.7,10.139711107419828,3.1,13.410585658200416,4.1,11.120973472654004,3.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1982,17.008547664059066,5.2,29.11078350194725,8.9,38.269232244132894,11.7,48.40894335155273,14.8,17.662722574215184,5.4,0.0,0.0,,,,,,,,,,,,
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1983,18.97107239452742,5.8,35.979620058586484,11.0,48.73603080663079,14.9,70.65089029686074,21.6,71.95924011717297,22.0,0.0,0.0,,,,,,,,,,,,
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1984,43.8297189804599,13.4,44.48389389061602,13.6,55.60486736327002,17.0,72.28632757225104,22.1,78.82807667381222,24.1,0.0,0.0,,,,,,,,,,,,
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1985,27.475346226556955,8.4,34.01709532811813,10.4,38.923407154289016,11.9,34.01709532811813,10.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1986,20.279422214839656,6.2,21.91485949022995,6.7,31.40039568749366,9.6,25.5128214960886,7.8,0.0,0.0,0.0,0.0,22.569034400386066,30.746220777337545,38.988824645304625,47.296846004287325,33.690007873040074,0.0,6.9,9.4,11.92,14.459999999999999,10.3,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1987,2.2896121855464124,0.7,7.850098921873415,2.4,21.260684580073832,6.5,39.57758206444513,12.1,0.0,0.0,0.0,0.0,25.5128214960886,33.10125045389957,42.58678665116328,50.17521560897425,33.690007873040074,0.0,7.8,10.120000000000001,13.02,15.34,10.3,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1988,13.737673113278476,4.2,26.821171316400832,8.2,26.16699640624472,8.0,36.96088242382066,11.3,0.0,0.0,0.0,0.0,22.56903440038607,28.8491135378848,39.185077118351465,48.40894335155273,30.157463358197038,0.0,6.900000000000001,8.82,11.98,14.8,9.22,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1989,14.064760568356537,4.3,20.279422214839656,6.2,25.83990895116666,7.9,13.737673113278476,4.2,0.0,0.0,0.0,0.0,21.52235454413628,27.01742378944767,34.671270238274246,41.67094177694471,15.765615334762444,0.0,6.58,8.26,10.6,12.74,4.82,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1990,7.523011466795356,2.3,10.793886017575945,3.3,21.91485949022995,6.7,23.55029676562025,7.2,0.0,0.0,0.0,0.0,15.569362861715607,22.1765294542924,28.71827855585358,29.9612108851502,0.0,0.0,4.76,6.779999999999999,8.78,9.16,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1991,10.466798562497887,3.2,15.70019784374683,4.8,21.58777203515189,6.6,33.36292041796201,10.2,22.56903440038607,6.9,0.9812623652341768,0.3,11.578895909763286,17.53188759218396,25.31656902304176,27.867851172650624,0.0,0.0,3.5400000000000005,5.359999999999999,7.74,8.52,0.0,0.0
